date,open,high,low,close,Volume USD
2017-01-01,966.34,1005.0,960.53,997.75,6765936.165117411
2017-01-02,997.75,1032.0,990.01,1012.54,8276030.793166411
2017-01-03,1011.44,1039.0,999.99,1035.24,9276734.580567073
2017-01-04,1035.51,1139.89,1028.56,1114.92,23476506.06854417
2017-01-05,1114.38,1136.72,885.41,1004.74,36190813.62907297
2017-01-06,1004.73,1026.99,871.0,893.89,25531436.933740128
2017-01-07,894.02,907.05,812.28,906.2,17619070.31558711
2017-01-08,906.2,941.81,881.3,909.75,8164011.031562813
2017-01-09,909.8,912.87,875.0,896.23,7782148.932773347
2017-01-10,896.09,912.47,889.41,905.05,7706384.169592533
2017-01-11,905.24,918.4,755.0,778.62,29452194.072808374
2017-01-12,778.7,832.99,751.34,807.47,13632462.289825585
2017-01-13,807.51,831.4,775.0,825.86,9224970.693684436
2017-01-14,825.98,837.76,810.0,818.27,5469742.265374147
2017-01-15,819.52,823.45,808.0,821.86,3454909.0142463073
2017-01-16,821.86,835.0,818.09,831.81,5107434.949496118
2017-01-17,831.76,908.5,827.0,905.99,10774970.286989484
2017-01-18,905.95,915.99,851.74,887.7,9830026.487186905
2017-01-19,887.69,910.0,878.89,901.01,9928565.117997428
2017-01-20,902.23,902.43,880.0,895.8,5915721.125578391
2017-01-21,895.81,928.0,895.0,921.98,5373760.990554909
2017-01-22,921.98,937.74,886.76,923.76,6566288.860952884
2017-01-23,923.75,927.57,913.21,913.52,3234650.231264955
2017-01-24,913.15,923.0,881.48,885.47,8497003.397699634
2017-01-25,885.47,904.01,884.5,893.43,4725942.378078207
2017-01-26,893.25,919.49,892.86,914.83,4688154.508262675
2017-01-27,914.95,924.88,908.01,918.02,4433882.884482725
2017-01-28,918.02,920.99,913.08,918.6,1078818.6264300458
2017-01-29,918.6,919.99,910.45,912.01,1234846.4379603947
2017-01-30,913.12,923.0,910.0,919.99,2864811.682838595
2017-01-31,919.99,970.0,917.5,963.99,9025348.215038251
2017-02-01,963.99,986.96,962.0,983.67,6750109.57497359
2017-02-02,983.79,1011.65,973.12,1009.17,8223035.797673747
2017-02-03,1009.15,1022.64,987.01,1016.99,11026744.08427029
2017-02-04,1015.06,1044.23,1004.0,1033.18,5883830.510339376
2017-02-05,1033.72,1034.6,1004.7,1011.07,4416516.621066172
2017-02-06,1010.03,1031.94,1005.1,1023.99,5189349.613871165
2017-02-07,1024.0,1056.25,1021.3,1052.48,5605781.060966867
2017-02-08,1052.48,1070.0,1025.0,1050.4,10074810.270129925
2017-02-09,1051.73,1074.69,913.73,986.0,25066746.43730571
2017-02-10,985.71,1010.68,950.0,996.08,10489833.976707442
2017-02-11,995.49,1020.0,987.62,1012.4,4505686.319880542
2017-02-12,1011.01,1011.97,991.98,1000.73,2689742.014728483
2017-02-13,1000.73,1007.89,975.1,1000.79,4522438.197174616
2017-02-14,1000.74,1019.0,987.97,1008.88,6805943.355406329
2017-02-15,1008.88,1013.8,1000.97,1011.53,3123921.3774799276
2017-02-16,1011.53,1043.21,1010.75,1032.7,6168666.096506515
2017-02-17,1032.91,1064.99,1031.98,1055.46,6386087.004839037
2017-02-18,1055.75,1068.99,1046.14,1056.4,4746727.110129396
2017-02-19,1056.4,1061.9,1039.07,1051.8,2388841.6674306644
2017-02-20,1051.8,1089.99,1044.39,1084.0,3904518.6717723706
2017-02-21,1084.0,1126.86,1077.0,1124.62,9273966.910469208
2017-02-22,1124.62,1143.0,1098.16,1130.01,13142836.290754424
2017-02-23,1130.02,1193.92,1120.73,1188.11,13552839.592193073
2017-02-24,1183.53,1220.0,1091.1,1180.14,23025694.177224256
2017-02-25,1180.05,1184.73,1127.0,1152.2,7224910.915943928
2017-02-26,1152.11,1184.97,1133.0,1179.05,4127437.021177706
2017-02-27,1180.46,1197.99,1169.0,1194.64,5511160.508269478
2017-02-28,1194.64,1209.99,1176.27,1191.21,9016188.988220444
2017-03-01,1191.16,1231.0,1188.3,1226.39,7277141.547473066
2017-03-02,1228.0,1283.25,1215.0,1257.6,9678756.367484652
2017-03-03,1257.6,1298.0,1255.0,1285.33,9615671.624918759
2017-03-04,1285.33,1289.55,1230.0,1260.0,6237778.993081029
2017-03-05,1260.0,1275.0,1240.0,1273.0,3808489.238151178
2017-03-06,1269.98,1285.0,1251.0,1278.49,5418524.439622839
2017-03-07,1278.49,1281.62,1175.97,1233.05,17884512.202300295
2017-03-08,1233.86,1245.49,1145.5,1150.05,15908840.831986679
2017-03-09,1149.34,1208.0,1135.01,1190.89,9019963.926305994
2017-03-10,1190.99,1350.0,975.0,1116.97,38800924.8776948
2017-03-11,1111.55,1198.0,1106.51,1176.55,8526429.886711815
2017-03-12,1176.58,1241.85,1170.9,1226.62,6999274.561616866
2017-03-13,1226.42,1249.02,1215.43,1242.46,6964717.91240351
2017-03-14,1242.46,1260.0,1226.5,1245.86,7156718.591313439
2017-03-15,1245.82,1260.0,1238.32,1257.32,4920205.705849632
2017-03-16,1258.75,1258.96,1130.0,1172.62,18269884.427108243
2017-03-17,1172.0,1173.23,1063.0,1071.02,18716502.375315256
2017-03-18,1068.16,1099.0,944.36,969.4,21553058.781762578
2017-03-19,969.4,1063.7,969.4,1017.97,12337533.408741688
2017-03-20,1012.88,1053.0,1010.01,1035.96,7766622.947688328
2017-03-21,1036.23,1117.9,1034.92,1114.39,12069544.601767857
2017-03-22,1114.39,1114.39,988.0,1037.56,15063182.175141873
2017-03-23,1037.6,1054.4,1010.69,1029.65,6135020.062803348
2017-03-24,1030.84,1032.0,920.0,929.06,15704993.508034194
2017-03-25,928.1,963.36,891.33,956.02,12469315.014941573
